,NAME,OBJNAME_super,OBJNAME_recipe,MAIN_ID,CIVIL,RA,DEC,FILENAME,SNRH_pix,SNRH_res,SNRK_pix,SNRK_res,U,B,V,R,G,I,PASTEL_Teff,PASTEL_logg,PASTEL_[Fe/H],PASTEL_Flag,FILE_URL,CAL_URL,RAW_URL
215,V* V830 Tau,V830 Tau,V830 Tau ,V* V830 Tau,20181019,68.29333333333332,24.561722222222222,SDCH_20181019_0152.fits,69.311279296875,133,63.50312042236328,122,,13.90999984741211,12.079999923706056,11.300000190734863,11.667200088500977,,,,,,https://utexas.box.com/shared/static/tw3y7h7wqzbewjirv6vftiecudyuyyrx.gz,https://utexas.box.com/shared/static/u5orizs80vycztxvdul2l78s90io2i6s.gz,https://utexas.box.com/s/53dtz77of25z1x62tcxeku1ec62sgerp
216,V* V827 Tau,V827 Tau,V827 Tau ,V* V827 Tau,20181029,68.06045833333333,18.339888888888886,SDCH_20181029_0043.fits,56.50691223144531,109,55.19573593139648,105,,14.0,12.630000114440918,12.350000381469728,11.86989974975586,,,,,,https://utexas.box.com/shared/static/tlbe73pbjig65src02os12i1i4ri2ish.gz,https://utexas.box.com/shared/static/45z2dtdgbb1c9uow4viujw18a1t6g9my.gz,https://utexas.box.com/s/qtnb157ctvfpgfe59hpxyi49uiq50sim
217,V* V830 Tau,V830 Tau,V830 Tau ,V* V830 Tau,20181029,68.29216666666665,24.56411111111111,SDCH_20181029_0045.fits,53.51264190673828,103,50.892822265625,98,,13.90999984741211,12.079999923706056,11.300000190734863,11.667200088500977,,,,,,https://utexas.box.com/shared/static/40d7utzw7ewv5xa3i1lpolx72ven05m9.gz,https://utexas.box.com/shared/static/45z2dtdgbb1c9uow4viujw18a1t6g9my.gz,https://utexas.box.com/s/qtnb157ctvfpgfe59hpxyi49uiq50sim
218,V* V1023 Tau,Hubble 4,Hubble 4 ,V* V1023 Tau,20181029,64.69658333333332,28.337027777777777,SDCH_20181029_0047.fits,56.4775619506836,108,62.38362884521485,119,,14.3100004196167,12.0,11.210000038146973,11.65429973602295,,,,,,https://utexas.box.com/shared/static/2a2srpil3igwp3yjtf10kkwt93cljvta.gz,https://utexas.box.com/shared/static/45z2dtdgbb1c9uow4viujw18a1t6g9my.gz,https://utexas.box.com/s/qtnb157ctvfpgfe59hpxyi49uiq50sim
219,V* V1023 Tau,Hubble 4,Hubble 4 ,V* V1023 Tau,20181030,64.69224999999999,28.334777777777777,SDCH_20181030_0033.fits,76.52539825439453,147,81.76375579833984,157,,14.3100004196167,12.0,11.210000038146973,11.65429973602295,,,,,,https://utexas.box.com/shared/static/lsk238t56xdqs3sxb4afapsylar9akcm.gz,https://utexas.box.com/shared/static/os7jxkzzq0mdist9ylqkans3sv7cm22j.gz,https://utexas.box.com/s/yzlqx7kcz72zpy55uu4ld523fi3m6cgi
220,V* V827 Tau,V827 Tau,V827 Tau ,V* V827 Tau,20181030,68.05749999999999,18.336305555555555,SDCH_20181030_0035.fits,62.83460998535156,121,59.935821533203125,115,,14.0,12.630000114440918,12.350000381469728,11.86989974975586,,,,,,https://utexas.box.com/shared/static/ekcvfq4ttcodfaux1u7o5c84inpoebhy.gz,https://utexas.box.com/shared/static/os7jxkzzq0mdist9ylqkans3sv7cm22j.gz,https://utexas.box.com/s/yzlqx7kcz72zpy55uu4ld523fi3m6cgi
221,V* V830 Tau,V830 Tau,V830 Tau ,V* V830 Tau,20181030,68.28966666666665,24.560972222222222,SDCH_20181030_0037.fits,86.52265167236328,167,80.08090209960938,153,,13.90999984741211,12.079999923706056,11.300000190734863,11.667200088500977,,,,,,https://utexas.box.com/shared/static/0irzu4wuv40a9czbn52p7n46v3ejc2wu.gz,https://utexas.box.com/shared/static/os7jxkzzq0mdist9ylqkans3sv7cm22j.gz,https://utexas.box.com/s/yzlqx7kcz72zpy55uu4ld523fi3m6cgi
222,V* V1023 Tau,Hubble 4,Hubble 4 ,V* V1023 Tau,20181031,64.69241666666666,28.333972222222226,SDCH_20181031_0055.fits,51.08786010742188,98,59.572601318359375,114,,14.3100004196167,12.0,11.210000038146973,11.65429973602295,,,,,,https://utexas.box.com/shared/static/ayk8hq5vod64wb4dscdx1jme7e3thta4.gz,https://utexas.box.com/shared/static/d3wfr7jzyh2rvc7vzdmbe79ih01k6cav.gz,https://utexas.box.com/s/1k7nwlti0aq2c3f5pbv6p7k9meh9tk0r
223,V* V827 Tau,V827 Tau,V827 Tau ,V* V827 Tau,20181031,68.05849999999998,18.33575,SDCH_20181031_0061.fits,20.647357940673828,39,17.6334171295166,33,,14.0,12.630000114440918,12.350000381469728,11.86989974975586,,,,,,https://utexas.box.com/shared/static/upmt71043gcj1gk502r7at9hakoi2axl.gz,https://utexas.box.com/shared/static/d3wfr7jzyh2rvc7vzdmbe79ih01k6cav.gz,https://utexas.box.com/s/1k7nwlti0aq2c3f5pbv6p7k9meh9tk0r
224,ATO J076.8002+24.6211,RXJ 05072+2437,RXJ 05072+2437,ATO J076.8002+24.6211,20181119,76.79437499999997,24.620361111111112,SDCH_20181119_0166.fits,9.135869026184082,17,7.085084438323975,13,,,,,12.337200164794922,,,,,,https://utexas.box.com/shared/static/tf5as1gbicbuyjx3ii4n8stq3r2cejv9.gz,https://utexas.box.com/shared/static/lq3qwdorpj1i7uqbifqigtrpwindlnk9.gz,https://utexas.box.com/s/5nh82ycle7xw9kd3mqc3cfax2tplpe9j
