Spectrum,Observed,Ritz,Transition,Rel.,Aki,fik,Acc.,Ei           Ek,Lower level,Upper level,Type,TP,Line
Fe II,2.13502286,2.1350222,4683.7906,2.2,,,,12.6878163         -   13.2685325,3d6.(5D).6s               | 6D         | 5/2,3d5.(2D3).4s.4p.(3P*)               | 4D*         | 5/2,,,L18349c139
Si I,2.136007,2.136003,4681.633,21,6070000.0,0.249,C+,6.2226912         -    6.8031408,3s2.3p.4p                 | 1D         | 2,3s2.3p.5s                           | 1P*         | 1,,T6066,L4745
Fe II,2.13605929,2.13605974,4681.518,14,,,,12.8033198         -   13.3837539,3d6.(5D).6s               | 4D         | 1/2,3d6.(5D).6p                         | 4P*         | 3/2,,,L18349c145
Fe II,2.1367458,2.1367462,4680.014,0.13bl(Fe I),,,,13.2539571         -   13.8342047,3d6.(3F2).4d              | 2G         | 7/2,3d6.(3F2).5p                        | 2F*         | 7/2,,,L18349c148
Fe I,2.136746,2.1367448,4680.013,19bl,,,,6.72821528        -    7.3084633,3d7.(4F).4d               | e 3H       | 5,3d6.(3H).4s.4p.(1P*)                | 3I*         | 6,,,L11631
Fe II,2.13764616,2.13764602,4678.0427,17,,,,12.6502274         -   13.2302308,3d6.(5D).6s               | 6D         | 7/2,3d6.(5D).6p                         | 4F*         | 9/2,,,L18349c148
Ti I,2.137767,2.1377669,4677.779,1*,,,,4.7084969         -    5.28846755,3d2.(3P).4s.4p.(1P*)      | u 3D*      | 2,3d2.4s.(4F).4d                      | 3D          | 1,,,L10989
Ti I,2.137767,2.1377724,4677.779,1*,,,,4.6730050         -    5.25297410,3d3.(2G).4p               | v 3G*      | 5,3d2.4s.(4F).4d                      | 3H          | 5,,,L10989
Fe II,2.1381911,2.13819176,4676.8504,0.35,,,,13.0026236         -   13.5824790,3d6.(5D).5d               | 4D         | 7/2,3d6.(3P2).5p                        | 4D*         | 7/2,,,L18349c139
Sc I,2.13843,2.138447,4676.33,2,,,,4.4226444         -    5.0024305,3d.4s.(3D).5s             | 2D         | 3/2,3d.4s.(3D).5p                       | 2D*         | 3/2,,,L4189c12
Fe I,2.1392,2.1391990,4674.644,100bl*,,,,5.62068415        -    6.20026651,3d6.(5D).4s (6D).5s       | e 5D       | 2,3d6.(5D).4s (6D).5p                 | n 7D*       | 2,,,L11631
Fe I,2.1392,2.1391999,4674.644,100bl*,,,,6.17506487        -    6.75464698,3d6.(5D).4s (6D).5p       | n 7D*      | 3,3d6.4s.(6D).6s                      | 5D          | 4,,,L11631
Fe II,2.1431216,2.1431220,4666.0909,0.4,,,,13.0677952         -   13.6463166,3d6.(3F2).4d              | 4H         | 11/2,3d6.(3H).5p                         | 2G*         | 9/2,,,L18349c139
Fe I,2.1433607,2.1433599,4665.57,54,,,,6.61492758        -    7.1933848,3d7.(4F).4d               | e 5H       | 6,3d6.(3H).4s.4p.(1P*)                | 3G*         | 5,,,L11631
Ti I,2.143682,2.143682,4664.872,6,,,,4.8538921         -    5.4322625,3d3.(4F).5s               | f 5F       | 2,3d3.(4F).5p                         | 5G*         | 2,,,L10989
Fe II,2.14467161,2.1446714,4662.7185,12,,,,12.6090094         -   13.1871128,3d6.(5D).6s               | 6D         | 9/2,3d6.(5D).6p                         | 6D*         | 9/2,,,L18349c148
Ti I,2.146055,2.1460559,4659.713,5,,,,4.6562338         -    5.23396428,3d3.(2G).4p               | v 3G*      | 3,3d2.4s.(4F).4d                      | 3H          | 4,,,L10989
